,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
380,Maruti Alto,LXI OManual,"Bellahalli, Bengaluru",HatchBack,2019,Maruti,41958,1ST OWNER,PETROL,KA-51,370000,428000,Manual,4,10489.5,2.5 lakh-5 lakh
381,Maruti S PRESSO,VXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,42954,1ST OWNER,PETROL,KA-52,472000,502000,Manual,2,21477,2.5 lakh-5 lakh
382,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2012,Maruti,66346,1ST OWNER,PETROL,KA-03,430000,474000,Manual,11,6031.454545,2.5 lakh-5 lakh
383,Tata Tiago,XZA PLUS DUAL TONE PETROLAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Tata,26591,1ST OWNER,PETROL,KA-53,706000,748000,Automatic,3,8863.666667,5 lakh-10 lakh
384,Hyundai GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,23056,1ST OWNER,PETROL,KA-03,722000,782000,Automatic,3,7685.333333,5 lakh-10 lakh
385,Honda Jazz,1.2L I-VTEC VX CVTAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2019,Honda,63460,1ST OWNER,PETROL,KA-05,774000,946000,Automatic,4,15865,5 lakh-10 lakh
386,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Maruti,57604,1ST OWNER,PETROL,KA-51,519000,585000,Manual,8,7200.5,5 lakh-10 lakh
387,Maruti Celerio X,ZXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,17125,2ND OWNER,PETROL,KA-01,530000,605000,Manual,5,3425,5 lakh-10 lakh
388,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2012,Maruti,42762,1ST OWNER,PETROL,KA-04,441000,501000,Manual,11,3887.454545,2.5 lakh-5 lakh
389,Honda Brio,S MTManual,"Bellahalli, Bengaluru",HatchBack,2012,Honda,79059,2ND OWNER,PETROL,KA-51,329000,359000,Manual,11,7187.181818,2.5 lakh-5 lakh
