,Car_Model,Configuration,Type,Discounted_Price,Location
93,2018 Ford Ecosport,"35,922 KM
2ND OWNER
DIESEL
KA-05",TITANIUM 1.5L DIESELManual,"₹8,38,000
₹8,54,000","Bellahalli, Bengaluru"
94,2018 Ford Ecosport,"1,14,427 KM
2ND OWNER
DIESEL
KA-09",TITANIUM 1.5L DIESELManual,"₹8,52,000
₹8,72,000","Bellahalli, Bengaluru"
95,2018 Renault Captur,"38,199 KM
2ND OWNER
DIESEL
KA-53",RXT Diesel Dual ToneManual,"₹8,58,000
₹10,25,000","Bellahalli, Bengaluru"
96,2015 Renault Duster,"68,845 KM
2ND OWNER
DIESEL
KA-53",85 PS RXL PLUS DIESELManual,"₹6,58,000
₹6,88,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
97,2020 Renault Duster,"11,201 KM
1ST OWNER
PETROL
KA-03",RXZManual,"₹10,11,000
₹11,18,000",Sonnappanahalli
98,2016 Hyundai Creta,"51,580 KM
2ND OWNER
PETROL
KA-53",SX PLUS 1.6 PETROLManual,"₹9,17,000
₹9,65,000","Garuda Mall, Magrath Road, Bengaluru"
99,2017 Honda WR-V,"59,930 KM
2ND OWNER
PETROL
KA-01",1.2L I-VTEC VX MTManual,"₹6,98,000
₹7,77,000","Bellahalli, Bengaluru"
100,2017 Hyundai Creta,"24,459 KM
2ND OWNER
PETROL
KA-51",SX PLUS AT 1.6 PETROLAutomatic,"₹10,07,000
₹11,15,000","Garuda Mall, Magrath Road, Bengaluru"
101,2020 Hyundai Creta,"12,975 KM
1ST OWNER
PETROL
KA-04",SX (O) IVT 1.5 PETROLAutomatic,"₹17,63,000
₹18,65,000","Garuda Mall, Magrath Road, Bengaluru"
102,2021 MG HECTOR,"1,27,904 KM
1ST OWNER
DIESEL
KA-29",SHARP 2.0 DIESEL DUAL TONEManual,"₹18,18,400
₹19,00,000","Bellahalli, Bengaluru"
103,2020 Hyundai VENUE,"11,208 KM
1ST OWNER
PETROL
KA-04",SX 1.0 (O) TURBO IMTManual,"₹11,73,000
₹12,38,000","Garuda Mall, Magrath Road, Bengaluru"
104,2017 Honda WR-V,"40,752 KM
1ST OWNER
PETROL
KA-01",1.2L I-VTEC VX MTManual,"₹7,75,000
₹8,50,000","Garuda Mall, Magrath Road, Bengaluru"
105,2017 Honda WR-V,"40,959 KM
1ST OWNER
PETROL
KA-05",1.2L I-VTEC VX MTManual,"₹7,45,000
₹7,93,000","Garuda Mall, Magrath Road, Bengaluru"
106,2019 Ford Ecosport,"63,133 KM
1ST OWNER
DIESEL
KA-05",TITANIUM + 1.5L DIESELManual,"₹9,10,000
₹11,07,000","Garuda Mall, Magrath Road, Bengaluru"
107,2017 Renault Duster,"68,505 KM
1ST OWNER
PETROL
KA-01",RXL PETROLManual,"₹7,33,000
₹8,27,000","Hosur Road, Singasandra, Bengaluru"
108,2021 Tata NEXON,"43,294 KM
1ST OWNER
PETROL
KA-05",XZ PLUS (HS) PETROLManual,"₹10,54,000
₹11,15,000","Garuda Mall, Magrath Road, Bengaluru"
109,2021 Tata NEXON,"10,391 KM
1ST OWNER
DIESEL
KA-47",XZA PLUS DIESELAutomatic,"₹12,34,000
₹12,61,000","Garuda Mall, Magrath Road, Bengaluru"
110,2019 Ford Ecosport,"25,893 KM
1ST OWNER
PETROL
KA-01",TITANIUM 1.5L PETROLManual,"₹8,09,000
₹8,64,000","Garuda Mall, Magrath Road, Bengaluru"
111,2021 Nissan MAGNITE,"22,974 KM
1ST OWNER
PETROL
KA-09",XL TURBO CVTAutomatic,"₹8,72,000
₹8,87,000","Garuda Mall, Magrath Road, Bengaluru"
112,2016 Ford Ecosport,"74,380 KM
2ND OWNER
DIESEL
KA-09",TITANIUM 1.5L DIESELManual,"₹6,69,000
₹6,84,000","Horamavu Agara Road, Bengaluru"
