,Car_Model,Configuration,Type,Discounted_Price,Location
715,2012 Maruti Swift,"78,249 KM
3RD OWNER
PETROL
KA-53",VXIManual,"₹4,18,000
₹4,59,000","Bellahalli, Bengaluru"
716,2012 Hyundai i20,"66,331 KM
2ND OWNER
PETROL
KA-04",ASTA 1.2Manual,"₹4,26,000
₹4,52,000","Bellahalli, Bengaluru"
717,2015 Renault Kwid,"84,990 KM
1ST OWNER
PETROL
KA-05",RXT 0.8Manual,"₹2,99,000
₹3,14,000","Bellahalli, Bengaluru"
718,2010 Hyundai i20,"92,338 KM
1ST OWNER
PETROL
KA-53",ASTA 1.2Manual,"₹3,35,000
₹3,60,000","GT World Mall, Bengaluru"
719,2014 Hyundai Grand i10,"86,577 KM
2ND OWNER
PETROL
KA-04",ASTA AT 1.2 KAPPA VTVTAutomatic,"₹4,31,000
₹5,04,000","Bellahalli, Bengaluru"
720,2020 Maruti IGNIS,"46,001 KM
2ND OWNER
PETROL
KA-51",ZETA 1.2Manual,"₹5,20,000
₹6,35,000","Bellahalli, Bengaluru"
721,2016 Datsun Redi Go,"60,297 KM
2ND OWNER
PETROL
KA-09",AManual,"₹2,52,000
₹2,81,000","Horamavu Agara Road, Bengaluru"
722,2018 Maruti Swift,"35,562 KM
1ST OWNER
PETROL
KA-53",VXIManual,"₹6,50,000
₹6,87,000","Bellahalli, Bengaluru"
723,2016 Hyundai Grand i10,"79,365 KM
2ND OWNER
DIESEL
KA-19",SPORTZ 1.1 CRDIManual,"₹4,53,650
₹5,04,000","Hosur Road, Singasandra, Bengaluru"
724,2015 Maruti Swift,"56,976 KM
2ND OWNER
DIESEL
KA-02",VDI ABSManual,"₹5,83,000
₹6,30,000","Hosur Road, Singasandra, Bengaluru"
725,2011 Maruti Swift,"96,278 KM
2ND OWNER
PETROL
KA-34",VXIManual,"₹3,51,600
₹3,60,000","Bellahalli, Bengaluru"
726,2016 Hyundai Elite i20,"1,04,885 KM
1ST OWNER
PETROL
KA-05",SPORTZ 1.2Manual,"₹5,65,000
₹6,16,000","Horamavu Agara Road, Bengaluru"
727,2014 Maruti Celerio,"54,848 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹3,95,000
₹4,23,000","Hosur Road, Singasandra, Bengaluru"
728,2018 Maruti IGNIS,"35,050 KM
1ST OWNER
PETROL
KA-19",SIGMA 1.2Manual,"₹4,90,000
₹5,08,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
729,2017 Renault Kwid,"56,637 KM
1ST OWNER
PETROL
KA-08",RXT 0.8Manual,"₹3,46,000
₹3,67,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
