,Car_Model,Configuration,Type,Discounted_Price,Location
127,2014 Honda Amaze,"75,565 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC VXManual,"₹4,41,000
₹4,50,000","Horamavu Agara Road, Bengaluru"
128,2015 Honda City,"43,358 KM
2ND OWNER
PETROL
KA-01",1.5L I-VTEC VX CVTAutomatic,"₹7,51,000
₹8,12,000","Bellahalli, Bengaluru"
129,2020 Hyundai AURA,"21,627 KM
2ND OWNER
PETROL
KA-04",SX PLUS 1.2 AMTAutomatic,"₹7,99,000
₹8,75,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
130,2016 Maruti Swift Dzire,"85,863 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹5,68,000
₹5,85,000","GT World Mall, Bengaluru"
131,2018 Hyundai Verna,"63,115 KM
1ST OWNER
PETROL
KA-50",1.6 VTVT SX (O) ATAutomatic,"₹10,28,000
₹10,64,000","GT World Mall, Bengaluru"
132,2016 Honda City,"41,138 KM
1ST OWNER
PETROL
KA-01",1.5L I-VTEC VX CVTAutomatic,"₹7,95,000
₹8,48,000","Bellahalli, Bengaluru"
133,2013 Honda Amaze,"97,658 KM
1ST OWNER
DIESEL
KA-01",1.5L I-DTEC VXManual,"₹4,16,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
134,2017 Honda City,"56,363 KM
1ST OWNER
PETROL
KA-01",1.5L I-VTEC VX CVTAutomatic,"₹8,49,000
₹8,56,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
135,2020 Hyundai Verna,"47,456 KM
1ST OWNER
PETROL
KA-01",SX (O)1.0 TURBO DCTAutomatic,"₹13,09,000
₹15,59,000","Bellahalli, Bengaluru"
136,2017 Skoda Rapid,"75,037 KM
1ST OWNER
DIESEL
KA-03",STYLE 1.5 TDI ATAutomatic,"₹9,47,000
₹9,97,000","Hosur Road, Singasandra, Bengaluru"
137,2017 Maruti Dzire,"94,932 KM
1ST OWNER
DIESEL
KA-02",VDIManual,"₹7,21,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
138,2016 Hyundai Verna,"62,598 KM
1ST OWNER
PETROL
KA-04",FLUIDIC 4S 1.6 VTVT SManual,"₹7,06,000
₹7,34,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
